Name    Number  BeamID  E       N       U
HH0	0	0	-105.0353015473961	-110.72205286793039	0.9381712017757593
HH1	1	0	-90.42745888417828	-110.66626434115233	0.9283957746635068
HH2	2	0	-75.81961648189954	-110.61047581344329	0.9185869266455171
HH3	3	0	-61.211773765144486	-110.55468624457902	0.848744656081891
HH4	4	0	-46.60393202161141	-110.49889771929587	0.8388689645060694
HH5	5	0	-31.99609058986149	-110.4431093683703	0.8389598493743975
HH11	11	0	-112.38751908921259	-98.103144465661	0.7882534067006617
HH12	12	0	-97.77967573028813	-98.0473552219067	0.7184946916911343
HH13	13	0	-83.17183303792463	-97.99156613227456	0.6587025525393457
HH14	14	0	-68.5639929817703	-97.9357801265906	0.7988769932694098
HH15	15	0	-53.95615064159087	-97.8799907293083	0.7190180124242929
HH16	16	0	-39.34830937573607	-97.8242025659533	0.7191256069105876
HH17	17	0	-24.740468286731897	-97.76841425112704	0.7091997816026776
HH18	18	0	-10.132627490412055	-97.71262624143202	0.719240532075176
HH23	23	0	-119.73977457669866	-85.47423122707801	0.6483022169938977
HH24	24	0	-105.13193283169636	-85.41844352010276	0.6685602120245875
HH25	25	0	-90.52409078496039	-85.36265541016589	0.6587847826032274
HH26	26	0	-75.91624899842007	-85.30686729823753	0.6489759331491385
HH27	27	0	-61.30840852948497	-85.25108066393888	0.7491336619263649
HH28	28	0	-46.7005661352803	-85.1952909437293	0.6192579681935868
HH29	29	0	-32.092725054808	-85.13950256614525	0.5893488531825852
HH30	30	0	-17.484884380568488	-85.08371445783813	0.5794063141260324
HH36	36	0	-127.09199082583267	-72.85532339572302	0.47831734147825955
HH37	37	0	-112.48415061816304	-72.79953663744371	0.568592045889396
HH38	38	0	-97.87630868020652	-72.74374873285927	0.5588333289780252
HH39	39	0	-83.26846674236839	-72.68796060119674	0.5290411894324443
HH44	44	0	-10.229262515453627	-72.40902120515263	0.4895791631430946
HH45	45	0	4.378577585431357	-72.35323353388043	0.49958649135779254
HH46	46	0	18.98641766561619	-72.29744643060988	0.5595603969892196
HH50	50	0	-134.4442452078562	-60.22641086151445	0.3282990269516901
HH51	51	0	-119.83640383766529	-60.17062335390012	0.3385904437843088
HH52	52	0	-105.22856362512533	-60.11483641408218	0.40884843810016847
HH53	53	0	-90.62072188740113	-60.05904852906295	0.37907300903433594
HH58	58	0	-17.58151881592996	-59.780110247569475	0.34969453492859515
HH59	59	0	-2.9736789333836615	-59.72432264963378	0.3497185738498736
HH65	65	0	-141.79646225930523	-47.607504565972675	0.23824707157328007
HH66	66	0	-127.18862059971869	-47.55171707517863	0.22855519696219773
HH67	67	0	-112.580779024029	-47.495929511676906	0.2088299021868103
HH68	68	0	-97.97293760176878	-47.44014187411818	0.17907118496015428
HH73	73	0	-24.933736867109523	-47.16120578004099	0.309776262842572
HH75	75	0	4.281942743405123	-47.04963125376942	0.34982433943022784
HH81	81	0	-149.14868016256878	-34.98859871527238	0.1981615854758374
HH82	82	0	-134.54083700089762	-34.932811047028395	0.11848642140230226
HH83	83	0	-119.93299535825274	-34.87702365411814	0.08877783683852591
HH84	84	0	-105.32515456298765	-34.821236428759434	0.08903582958723888
HH85	85	0	-90.71731383945665	-34.76544914844155	0.07926039965074594
HH86	86	0	-76.1094734957961	-34.70966192228582	0.0794515460613816
HH87	87	0	-61.501633561187674	-34.653874807127565	0.0996092731669993
HH88	88	0	-46.89379411639952	-34.59808796252441	0.1697335777969684
HH89	89	0	-32.285954010365955	-34.54230052205406	0.1298244594080593
HH90	90	0	-17.678114330670486	-34.486513135240585	0.09988191912803757
HH91	91	0	-3.0702750234440455	-34.430725967740784	0.10990595719562357
HH92	92	0	18.857570425515625	-38.55930953343452	0.19985513036422375
HH93	93	0	33.46540937399094	-38.50352218945194	0.1897956149107074
HH94	94	0	48.07324949152064	-38.44773599481147	0.3697026755062396
HH98	98	0	-156.50093509743877	-22.359687317196567	0.1180426019518297
HH99	99	0	-141.89308991811995	-22.30389967888502	-0.051615851801113166
HH100	100	0	-127.28524892095623	-22.24811260300954	-0.061307726397544116
HH101	101	0	-112.67740818358735	-22.19232552961935	-0.07103302400239819
HH102	102	0	-98.06956801395603	-22.1365385264184	-0.0607917433402303
HH103	103	0	-83.46172788312202	-22.080751487999983	-0.06058388303462969
HH104	104	0	-68.85388818207676	-22.024964520845476	-0.040409447181907865
HH105	105	0	-54.24604954053344	-21.969177933831517	0.08973156788837322
HH107	107	0	-25.030369823566414	-21.857603619854167	0.019913329305014216
HH108	108	0	-10.422530536878252	-21.801816481022392	-0.010045921573736294
HH109	109	0	11.505352661452811	-25.940405355876425	0.04993666964021948
HH110	110	0	26.113191510041673	-25.88461834109551	0.06989386345457405
HH111	111	0	40.721030361264596	-25.828831407818456	0.10981763381503384
HH112	112	0	55.32886839873039	-25.773044109597606	0.05970798305142466
HH116	116	0	-163.85315050375263	-9.740781369361507	-0.002109965382801171
HH117	117	0	-149.2453069308715	-9.684994361397017	-0.10175170820026302
HH118	118	0	-134.637464663964	-9.629207400373033	-0.17142687310288807
HH119	119	0	-120.02962405865622	-9.573420534336847	-0.18113546065434694
HH120	120	0	-105.42178404442109	-9.517633697701088	-0.17087746875336407
HH121	121	0	-90.8139440567902	-9.46184684741469	-0.17065289977454157
HH122	122	0	-76.20610452231344	-9.406060027788168	-0.15046175163958342
HH123	123	0	-61.59826511203415	-9.35027320683532	-0.13030402739115754
HH124	124	0	-46.99042567788378	-9.29448635753106	-0.13017972474758466
HH127	127	0	4.153097153105757	-13.31149625290967	-0.08001530132004042
