# Number	E	N	U
163 -5.440710032117139860e+01 2.020348873772580589e+01 -4.502639370116572337e-01
164 -3.979926191227463761e+01 2.025927524393529566e+01 -4.201563472518667908e-01
165 -2.519142346391476650e+01 2.031506165407899545e+01 -4.200821785330735025e-01
166 -1.055137468157911407e+01 1.193631586466397465e+01 -1.900199334635033210e-01
167 4.056463773110017712e+00 1.199210213473159037e+01 -3.300126072387152831e-01
168 1.866430180979183362e+01 1.204788868558857473e+01 -3.200387055125082369e-01
169 3.327213977999970496e+01 1.210367527286300771e+01 -2.900982229603608076e-01
170 4.787997752138545593e+01 1.215946182318821478e+01 -2.801911652507058648e-01
171 6.248781489677399037e+01 1.221524833368007812e+01 -2.903175281216574533e-01
172 7.709565237158560080e+01 1.227103490162545008e+01 -2.704773142422247645e-01
173 9.170348900366467149e+01 1.232682137174943371e+01 -3.006705219771470539e-01
174 1.063113259476573802e+02 1.238260791814589545e+01 -2.908971507414070956e-01
175 1.209191623416675014e+02 1.243839442519946914e+01 -3.011572029070128664e-01
176 -1.640141899491737263e+02 3.243188802354637801e+01 -6.021894099927411759e-01
177 -1.494063507863181997e+02 3.248767440606575008e+01 -5.718311533720754625e-01
178 -1.347985110687721999e+02 3.254346063521063570e+01 -5.715063185197930551e-01
179 -1.201906713756446834e+02 3.259924680989476542e+01 -5.812149081765145553e-01
180 -1.055828322739692453e+02 3.265503308833436336e+01 -5.709569185448764017e-01
181 -9.097499348465652247e+01 3.271081941822909300e+01 -5.507323507606081137e-01
182 -7.636715469886472363e+01 3.276660569358539021e+01 -5.405412048815438908e-01
183 -6.175931588826546204e+01 3.282239186653992391e+01 -5.503834827806350916e-01
184 -4.715147756039512217e+01 3.287817819288244436e+01 -5.302591820103526032e-01
185 -3.254363925483519893e+01 3.293396441559688270e+01 -5.301683025242702740e-01
186 -1.793580119260179728e+01 3.298975068798518606e+01 -5.201108460599819239e-01
187 -3.295752526051323184e+00 2.461100486141788934e+01 -4.200485213323421618e-01
188 1.131208536592228775e+01 2.466679116690815476e+01 -4.300579082433646505e-01
189 2.591992303688845567e+01 2.472257751098512202e+01 -4.301007176913209662e-01
190 4.052776068240311957e+01 2.477836397011058622e+01 -4.001769473567549085e-01
191 5.513559790347203915e+01 2.483415027429709099e+01 -4.102865993212123641e-01
192 6.974343486270225867e+01 2.488993657427679551e+01 -4.204296753679521714e-01
193 8.435127221976564726e+01 2.494572307274216882e+01 -3.806061730706105095e-01
194 9.895910876810273749e+01 2.500150937354653635e+01 -3.908160908513540477e-01
195 1.135669448761310605e+02 2.505729563260131698e+01 -4.110594327161880557e-01
196 -1.567585645318736738e+02 4.510657819014978998e+01 -7.020844923814273386e-01
197 -1.421507247809155388e+02 4.516236415997142473e+01 -7.117429471428380339e-01
198 -1.275428856884902586e+02 4.521815027210006122e+01 -7.014348261067340218e-01
199 -1.129350465880104366e+02 4.527393631215643666e+01 -7.011601264009819090e-01
200 -9.832720801102307462e+01 4.532972249312651769e+01 -6.809188477731957789e-01
201 -8.371936929434909302e+01 4.538550853228291260e+01 -6.807109927035668306e-01
202 -6.911153079267322141e+01 4.544129456724520821e+01 -6.805365589603020737e-01
203 -5.450369267694181019e+01 4.549708074732392049e+01 -6.603955465150157522e-01
204 -3.989585456037218592e+01 4.555286678072521056e+01 -6.602879576087374858e-01
205 -2.528801677754990607e+01 4.560865302922029230e+01 -6.302137901100941519e-01
206 -1.068017904017063024e+01 4.566443913500467033e+01 -6.201730440329917826e-01
207 3.959869276456679188e+00 3.728569333889875992e+01 -5.501106416872723059e-01
208 1.856770675255165770e+01 3.734147943626689425e+01 -5.601367395752792078e-01
209 3.317554412283762133e+01 3.739726570978557163e+01 -5.401962596852953880e-01
210 4.778338144390611575e+01 3.745305204018967515e+01 -5.102892034430084323e-01
211 6.239121809842328048e+01 3.750883801785517591e+01 -5.404155663525038733e-01
212 7.699905512419570641e+01 3.756462434692688390e+01 -5.105753536509816115e-01
213 9.160689206923669303e+01 3.762041067637152025e+01 -4.807685618827690632e-01
214 1.062147284361716828e+02 3.767619682679335114e+01 -4.809951922015258674e-01
215 -1.495029772085405284e+02 5.779127305941412374e+01 -8.120132001288169477e-01
216 -1.348951378270236319e+02 5.784705882242511876e+01 -8.216883663948344463e-01
217 -1.202872988929959206e+02 5.790284467491002118e+01 -8.213969561610738879e-01
218 -1.056794600081902331e+02 5.795863043464956377e+01 -8.311389683192800248e-01
219 -9.107162195507983427e+01 5.801441655873699688e+01 -8.009144034958275427e-01
220 -7.646378361979311933e+01 5.807020241007564465e+01 -8.007232580504428654e-01
221 -6.185594549981447443e+01 5.812598825824817794e+01 -8.005655358476460037e-01
222 -4.724810774261742807e+01 5.818177428800235873e+01 -7.804412355638632448e-01
223 -3.264027082538883917e+01 5.823756160066786691e+01 -6.203503567432839816e-01
224 -1.803243257252469078e+01 5.829334625467734554e+01 -7.502929015695798398e-01
225 -3.424595204859203434e+00 5.834913218961726500e+01 -7.402688675463764412e-01
226 1.121545271794742149e+01 4.997038664651415729e+01 -6.602063715297106228e-01
227 2.582328990478865904e+01 5.002617269287122781e+01 -6.502491818241793453e-01
228 4.043112698455568932e+01 5.008195881721399445e+01 -6.303254139858509575e-01
229 5.503896350864529552e+01 5.013774454618495469e+01 -6.604350671327487987e-01
230 6.964680044261960745e+01 5.019353082680456168e+01 -6.205781434263499818e-01
231 8.425463694720110652e+01 5.024931687080724174e+01 -6.107546421030498607e-01
232 9.886247297149766666e+01 5.030510275330341585e+01 -6.209645610154659323e-01
233 -1.422473515944701035e+02 7.046596181518378899e+01 -9.319753653103965974e-01
234 -1.276395124045488529e+02 7.052174725895027052e+01 -9.516672442285738498e-01
235 -1.130316744053849902e+02 7.057753325732156213e+01 -9.213925471416608559e-01
236 -9.842383602217219618e+01 7.063331892093385989e+01 -9.211512698680799360e-01
237 -8.381599798459201622e+01 7.068910469534270646e+01 -9.109434148515020979e-01
238 -6.920816011622275710e+01 7.074489046753922139e+01 -9.007689823840578924e-01
239 -5.460032241796164953e+01 7.080067623876601601e+01 -8.906279712862001929e-01
240 -3.999248488804452961e+01 7.085646200995584820e+01 -8.805203836344439594e-01
241 -2.538464756816263801e+01 7.091224789175075216e+01 -8.604462167389002047e-01
242 -1.077681035542957488e+01 7.096803366039716821e+01 -8.504054737542396936e-01
243 3.831026687165053346e+00 7.102381942949034510e+01 -8.403981506671236446e-01
244 1.847107422743513894e+01 6.264507395189504280e+01 -7.703355751296570020e-01
245 3.307891106722429697e+01 6.270085982786237366e+01 -7.603950967128341176e-01
246 4.768674788533208186e+01 6.275664590141033017e+01 -7.304880406381286662e-01
247 6.229458433140263907e+01 6.281243167922905002e+01 -7.306144061513499821e-01
248 7.690242068157841970e+01 6.286821755515306620e+01 -7.207741934014677554e-01
249 9.151025643115158914e+01 6.292400313158591985e+01 -7.409674031008357531e-01
250 -1.349917263547816901e+02 8.314065003736520509e+01 -1.041971063591887514e+00
251 -1.203838879231161201e+02 8.319643551626971600e+01 -1.041679654879658301e+00
252 -1.057760498717841244e+02 8.325222112317851497e+01 -1.031421667725020086e+00
253 -9.116821170394266005e+01 8.330800646789042219e+01 -1.041197102524485274e+00
254 -7.656037415618152409e+01 8.336379220523379274e+01 -1.021005959867849811e+00
255 -6.195253653757458778e+01 8.341957767791215872e+01 -1.020848238760940774e+00
256 -4.734469928325214028e+01 8.347536341258347647e+01 -1.000723939164814169e+00
257 -3.273686210128431640e+01 8.353114901662777925e+01 -9.906330628116748471e-01
258 -1.812902511671808625e+01 8.358693474855371619e+01 -9.705756082224894499e-01
259 -3.521188257463279569e+00 8.364272048020301042e+01 -9.505515747481965150e-01
260 1.108664842632166803e+01 8.369850581725552274e+01 -9.605609633358227484e-01
261 2.572665738617849840e+01 7.532976600482641061e+01 -8.804984290957307280e-01
262 4.033449394096620466e+01 7.538555183123060033e+01 -8.605746621929597495e-01
263 5.494233054283851203e+01 7.544133789818260993e+01 -8.206843164272612512e-01
264 6.955016678507625727e+01 7.549712360512239684e+01 -8.108273937746801607e-01
265 8.415800272450867681e+01 7.555290919201378586e+01 -8.110038929711080868e-01
266 -1.277361392659341277e+02 9.582534285907608762e+01 -1.162000445014385264e+00
267 -1.131283013925668257e+02 9.588112830029540135e+01 -1.151725746970392095e+00
268 -9.852046368763670614e+01 9.593691373934667865e+01 -1.141484472312434661e+00
269 -8.391262588988666948e+01 9.599269887671729862e+01 -1.151276618597982804e+00
270 -6.930478856953612876e+01 9.604848431362336214e+01 -1.141102187025566650e+00
271 -5.469695141740604072e+01 9.610426974920548560e+01 -1.130961179241865011e+00
272 -4.008911449886300460e+01 9.616005533533741811e+01 -1.110853590626305731e+00
273 -2.548127766428750718e+01 9.621584076983518230e+01 -1.100779425054483340e+00
274 -1.087344101649114592e+01 9.627162635473519003e+01 -1.080738681633633291e+00
275 3.734395501550496377e+00 9.632741178641957447e+01 -1.070731360271651056e+00
276 1.834223184929753359e+01 9.638319721687528840e+01 -1.060757462538106211e+00
277 3.298227866445922984e+01 8.800445219619535919e+01 -9.806947154459777494e-01
278 4.759011550292530046e+01 8.806023898340427536e+01 -8.807876608732527757e-01
279 6.219795092529561487e+01 8.811602341489918899e+01 -9.509140266738711489e-01
280 7.680578677348690064e+01 8.817180895213842007e+01 -9.410738150617845577e-01
281 -1.204805146974714489e+02 1.085000301516897281e+02 -1.252063226777586635e+00
282 -1.058726769592040284e+02 1.085558152547361317e+02 -1.251805240423017551e+00
283 -9.126483957878778597e+01 1.086116005259399913e+02 -1.241580676421754958e+00
284 -7.665700224751461178e+01 1.086673856250134236e+02 -1.241389535316827164e+00
285 -6.204916513117659349e+01 1.087231707238405818e+02 -1.241231814364162744e+00
286 -4.744132837883152121e+01 1.087789561625867236e+02 -1.221107516873132681e+00
287 -3.283349174994047814e+01 1.088347416013178020e+02 -1.201016640968283866e+00
288 -1.822565518801286544e+01 1.088905266946408688e+02 -1.200959187579584864e+00
289 -3.617818853303919724e+00 1.089463121300397574e+02 -1.180935155846150053e+00
290 1.099001730523329456e+01 1.090020970518553156e+02 -1.190944546777892299e+00
291 2.559785336314704551e+01 1.090578826563120458e+02 -1.160987359266528074e+00
292 4.023790001328008969e+01 1.006791382761002183e+02 -1.050924533370029224e+00
293 5.484573566673083178e+01 1.007349231721725573e+02 -1.071034190095254246e+00
294 6.945357144647333314e+01 1.007907087024876063e+02 -1.051177268695191458e+00
295 -1.132249284329826082e+02 1.211847222740591121e+02 -1.342159732958556617e+00
296 -9.861709100749976642e+01 1.212405071874195670e+02 -1.341918457548921140e+00
297 -8.400925379723176434e+01 1.212962921005455854e+02 -1.341710605917690202e+00
298 -6.940141680134192370e+01 1.213520770126255570e+02 -1.341536174872970832e+00
299 -5.479358010611993990e+01 1.214078621130062601e+02 -1.331395166011454023e+00
300 -4.018574364420057066e+01 1.214636474035066129e+02 -1.311287579918435142e+00
301 -2.557790730551848668e+01 1.215194326924341226e+02 -1.291213414386916725e+00
302 -1.097007105659219839e+01 1.215752175992302853e+02 -1.291172673919390945e+00
303 3.637764970317387991e+00 1.216310023125778343e+02 -1.301165353937832947e+00
304 1.824560082161402974e+01 1.216867875978627183e+02 -1.281191455572425753e+00
305 3.285343654880644237e+01 1.217425728842031276e+02 -1.261250979726241894e+00
306 4.749348280501151010e+01 1.133638285528897569e+02 -1.161188060328711913e+00
307 6.210131836810408856e+01 1.134196137548837413e+02 -1.151314430709291514e+00
308 -1.059693048859455473e+02 1.338594095295067916e+02 -1.382289597701287676e+00
309 -9.136146637107404445e+01 1.339151923597368352e+02 -1.472065033916948096e+00
310 -7.675362992479020363e+01 1.339709777160464341e+02 -1.441873892841776694e+00
311 -6.214579336193214942e+01 1.340267626496582238e+02 -1.431716174907251116e+00
312 -4.753795689450549844e+01 1.340825473727470580e+02 -1.431591877022192705e+00
313 -3.293012074514684429e+01 1.341383325151635972e+02 -1.411501002054599496e+00
314 -1.832228471998565311e+01 1.341941176557040194e+02 -1.391443549070416452e+00
315 -3.714448806535941117e+00 1.342499023737759671e+02 -1.391419518840969261e+00
316 1.089338689005826666e+01 1.343056870893937855e+02 -1.391428910656038909e+00
317 2.550122245105271546e+01 1.343614722271474591e+02 -1.371471725220708038e+00
318 4.010905826414971642e+01 1.344172586326079397e+02 -1.291547959080290298e+00
319 5.474910383564315453e+01 1.260385132217357267e+02 -1.251484963247534665e+00
320 -2.426986871653832338e+02 -4.022187563583456722e+02 4.422654965716645847e+00
321 -9.665237430018223108e+01 -3.932262428651424671e+02 3.667099104539602195e+00
322 4.942610043052043522e+01 -3.926682994648363660e+02 3.377673862619701595e+00
323 1.955045491359113328e+02 -3.921103738896970867e+02 3.374906412628178032e+00
324 -3.162210469024860799e+02 -2.759895318633559782e+02 2.856174500240072689e+00
325 -1.701425546263521653e+02 -2.754316213908937243e+02 2.801762519474692681e+00
326 -2.409629849649072497e+01 -2.664391584047469337e+02 2.374367535860670841e+00
327 1.219821347618014897e+02 -2.658812445799815123e+02 2.203271134523319574e+00
328 2.680605351701126438e+02 -2.653233273851482181e+02 1.948832528747587389e+00
329 -3.897433737180201661e+02 -1.497603564386224946e+02 1.516339385504238635e+00
330 -2.436648976387660355e+02 -1.492024639801188073e+02 1.383598450659093260e+00
331 1.945381500594835984e+02 -1.390942531635745354e+02 9.255136464195174995e-01
332 3.406165475114221408e+02 -1.385363762105133674e+02 1.419403881883553709e+00
333 -4.632656218445857803e+02 -2.353121373513381798e+01 -3.368503815327770212e-01
334 -3.171871931896327510e+02 -2.297334399872539379e+01 -1.179202667027610119e-01
335 2.670941717608464501e+02 -1.230733264414799066e+01 2.344013992400979518e-01
336 4.131725501707843478e+02 -1.174946468076726092e+01 7.566204775177114428e-01
337 -3.907094513447778468e+02 1.032557370887853239e+02 -1.492793635392253293e+00
338 -2.446310558460497191e+02 1.038135916774394047e+02 -1.315534681685655016e+00
339 1.936362610652286662e+02 9.705262550534706634e+01 -7.336775915615305621e-01
340 3.397146200710978974e+02 9.761048562274015694e+01 -2.497874573965148670e-01
341 -3.181532962433928446e+02 2.300426230909307037e+02 -2.652091649663930184e+00
342 -1.720427311120996592e+02 2.221659366391982360e+02 -2.316202437712092888e+00
343 -2.596438072275038422e+01 2.227237763782167690e+02 -2.153956846387771407e+00
344 1.201139584402324658e+02 2.232816215717205637e+02 -1.835053460675240444e+00
345 2.661922967874335200e+02 2.238394719105986326e+02 -1.369492279978302918e+00
346 -2.455649612090597316e+02 3.483949321363712102e+02 -3.484275050191399714e+00
347 -9.948662934374644351e+01 3.489527597302129607e+02 -3.260358411020746416e+00
348 4.659169205650228918e+01 3.495105942535649319e+02 -2.909783977488075379e+00
349 1.926700120614805201e+02 3.500684362884123288e+02 -2.422551748589967247e+00
